Đường dẫn file                                               | Độ phân giải    | Tỷ lệ (Ratio)
Employer\[Đội TNTN] Spotiflyer\dãy bd công viên 1 (Đông Bắc - Đông Bắc - Tây - Nam - Đông - Đông Bắc - Tây Nam).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Dãy BD công viên 2 (Đông Bắc - Đông - Tây - Bắc - Đông - Nam - Bắc - Đông Bắc - Đông Nam) (2).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Dãy BD công viên 2 (Đông Bắc - Đông - Tây - Bắc - Đông - Nam - Bắc - Đông Bắc - Đông Nam).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Luật chơi (2).jpg             | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Luật chơi (3).jpg             | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Luật chơi (4).jpg             | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\Luật chơi.jpg                 | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\nhà đa năng công viên 1 (Tây Bắc - Đông Bắc - Nam - Tây - Bắc - Đông Bắc - Tây Nam) (2).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\nhà đa năng công viên 1 (Tây Bắc - Đông Bắc - Nam - Tây - Bắc - Đông Bắc - Tây Nam).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\nhà đa năng công viên 2 (Đông Bắc - Đông - Bắc - Tây - Nam - Đông - Bắc - Đông) (2).jpg | 4704x3255       | 224:155
Employer\[Đội TNTN] Spotiflyer\nhà đa năng công viên 2 (Đông Bắc - Đông - Bắc - Tây - Nam - Đông - Bắc - Đông).jpg | 4704x3255       | 224:155
Individual\Bảo vệ môi trường\bảo vệ môi trường.png           | 5000x2500       | 2:1
Individual\Kỉ yếu\Mặt sau thẻ qua.png                        | 3132x4988       | 27:43
Individual\Kỉ yếu\Mặt trước thẻ quà.png                      | 3132x4988       | 27:43
Individual\Kỉ yếu\Thư mời.png                                | 7957x2920       | 109:40
Individual\Museum of Fine Arts\1.png                         | 5000x5000       | 1:1
Individual\Museum of Fine Arts\2.png                         | 5000x5000       | 1:1
Individual\Museum of Fine Arts\3.png                         | 5000x5000       | 1:1
Individual\Museum of Fine Arts\4.png                         | 5000x5000       | 1:1
Individual\Museum of Fine Arts\5.png                         | 5000x5000       | 1:1
Individual\Museum of Fine Arts\6.png                         | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\1.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\2.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\3.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\4.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\5.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\6.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\7.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD16\8.png | 5000x5000       | 1:1
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD17\1.png | 6685x3500       | 191:100
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD17\2.png | 6685x3500       | 191:100
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD17\3.png | 6685x3500       | 191:100
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD17\4.png | 6685x3500       | 191:100
Individual\Thuan Phat, Boulevard et ville de Da Lat\#BLVD17\5.png | 6685x3500       | 191:100
Individual\[A2K28] 20_10_2025\[A2K28] 20_10_2025.png         | 10000x10000     | 1:1
